Dummy_cor;Dummy_sexo;Dummy_EnsSuperior;Dummy_Classe;receita_proc_ln;reeleicao;resultado
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,27828693389893;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-3,04136133193970;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,85126304626465;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-6,51729869842529;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,50957489013672;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-4,57290792465210;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-6,80617952346802;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,78422021865845;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-1,43628287315369;Sim;1
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,42489051818848;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-9,40081882476807;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,48512935638428;Sim;1
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-8,80437946319580;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,88971328735352;Sim;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,32480716705322;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,63682031631470;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-1,94250190258026;Sim;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-4,21076869964600;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-7,14205741882324;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-8,45155811309814;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-9,49752712249756;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-2,88879990577698;Sim;0
Não-branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-6,60388708114624;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,11610150337219;Sim;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-6,78553581237793;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-6,97475671768188;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-8,59674072265625;Não;0
Não-branca;Masculino;Sem ensino superior;Classe alta e muito alta;-6,34131908416748;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-3,09982848167419;Não;0
Não-branca;Feminino;Ensino Superior;Sem classe alta ou muito alta;-7,59787034988403;Não;0
Branca;Feminino;Ensino Superior;Classe alta e muito alta;-7,34665966033936;Não;0
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-6,64194154739380;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,04573345184326;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,59526872634888;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-9,39524841308594;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,50143051147461;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-4,81379508972168;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-6,97488021850586;Não;0
Não-branca;Feminino;Sem ensino superior;Classe alta e muito alta;-9,39524841308594;Não;0
Não-branca;Feminino;Ensino Superior;Classe alta e muito alta;-9,18215465545654;Não;0
Não-branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-6,93494749069214;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,75946688652039;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-3,61956286430359;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,81802749633789;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-8,56848430633545;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-10,35104370117188;Não;0
Branca;Masculino;Ensino Superior;Classe alta e muito alta;-5,18121623992920;Sim;1
Branca;Masculino;Ensino Superior;Sem classe alta ou muito alta;-10,00502586364746;Não;0
Branca;Masculino;Sem ensino superior;Classe alta e muito alta;-10,79799365997314;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-12,55447101593018;Não;0
Branca;Masculino;Sem ensino superior;Sem classe alta ou muito alta;-9,75718975067139;Não;0
Não-branca;Feminino;Sem ensino superior;Sem classe alta ou muito alta;-8,60824012756348;Não;0
Não-branca;Masculino;Ensino Superior;Classe alta e muito alta;-9,79420757293701;Não;0
