tx_nome_parlamentar;sg_uf;sg_partido;manutencao_de_escritorio_de_apoio_a_atividade_parlamentar;combustiveis_e_lubrificantes;consultorias_pesquisas_e_trabalhos_tecnicos;divulgacao_da_atividade_parlamentar;passagem_aerea_reembolso;telefonia;servicos_postais;fornecimento_de_alimentacao_do_parlamentar;hospedagem_exceto_do_parlamentar_no_distrito_federal;locacao_ou_fretamento_de_aeronaves;servico_de_taxi_pedagio_e_estacionamento;passagem_aerea_rpa;locacao_ou_fretamento_de_veiculos_automotores;passagem_aerea_sigepa;passagens_terrestres_maritimas_ou_fluviais;servico_de_seguranca_prestado_por_empresa_especializada;assinatura_de_publicacoes;aquisicao_de_tokens_e_certificados_digitais;locacao_ou_fretamento_de_embarcacoes;participacao_em_curso_palestra_ou_evento_similar
Paulo Marinho Jr;MA;PL;339,70;8049,04;92000,00;0,00;0,00;4,83;67,84;403,80;0,00;0,0;0,00;9311,53;0,00;43313,25;0,00;0,00;0,00;0,00;0;0
Enio Verri;PR;PT;32177,54;91653,62;8000,00;91165,00;0,00;6540,53;199,80;0,00;6047,32;0,0;192,56;14250,74;113000,00;22005,29;0,00;0,00;0,00;0,00;0;0
André Figueiredo;CE;PDT;69940,09;25973,01;0,00;58300,00;0,00;9557,39;882,29;0,00;2483,00;0,0;0,00;0,00;91876,26;139119,12;0,00;0,00;790,80;0,00;0;0
Marcelo Moraes;RS;PL;20522,67;29959,66;0,00;20000,00;0,00;5810,47;1360,95;0,00;1160,00;0,0;0,00;39390,72;52178,60;41864,57;0,00;0,00;207,00;0,00;0;0
Paulo Ramos;RJ;PDT;47881,71;40571,34;0,00;69550,00;908,29;1033,54;196,27;1197,46;0,00;0,0;7781,93;19937,19;76519,63;34781,75;0,00;0,00;287,50;0,00;0;0
Cristiano Vale;PA;PP;51752,33;30722,56;0,00;30500,00;0,00;4398,70;6537,27;0,00;0,00;8000,0;0,00;64840,39;114210,00;19023,65;0,00;0,00;0,00;0,00;0;0
Afonso Hamm;RS;PP;68414,07;40932,49;0,00;55950,00;0,00;6791,20;4797,52;3453,98;13162,40;0,0;1696,80;4804,15;54670,00;101269,96;33,00;0,00;43,00;0,00;0;0
Vicentinho Júnior;TO;PP;0,00;0,00;325000,00;32000,00;0,00;3195,40;287,89;0,00;0,00;0,0;0,00;4101,05;0,00;42955,76;0,00;0,00;0,00;0,00;0;0
Lídice da Mata;BA;PSB;49343,19;32490,09;11000,00;73500,00;0,00;12153,36;661,95;0,00;3498,53;0,0;3879,16;2576,66;37275,00;84125,98;0,00;0,00;0,00;0,00;0;0
Beto Faro;PA;PT;274,90;0,00;84500,00;166600,00;11194,50;2905,98;54,07;0,00;3235,89;0,0;0,00;3976,47;0,00;70938,59;0,00;0,00;0,00;0,00;0;0
Aelton Freitas;MG;PP;13923,75;58369,41;69500,00;80087,72;4566,19;5047,65;307,57;6944,84;14976,19;0,0;8090,51;0,00;98987,00;7513,45;693,26;0,00;0,00;0,00;0;0
Arnaldo Jardim;SP;CIDADANIA;124898,78;39240,47;0,00;90950,00;0,00;10120,59;1807,42;0,00;2797,72;0,0;13394,23;15485,18;0,00;30673,72;110,15;0,00;0,00;0,00;0;0
Carlos Zarattini;SP;PT;69100,63;30628,39;0,00;94749,98;0,00;15418,14;1953,92;0,00;3080,20;0,0;8220,26;10817,68;0,00;62068,33;0,00;0,00;1357,06;0,00;0;0
Carlos Bezerra;MT;MDB;0,00;0,00;0,00;65000,00;0,00;2711,55;2679,45;0,00;0,00;0,0;0,00;0,00;0,00;4738,10;0,00;0,00;0,00;0,00;0;0
Celso Maldaner;SC;MDB;52963,30;44746,87;40000,00;30724,00;0,00;6646,66;4388,32;0,00;23495,80;0,0;0,00;0,00;60000,00;53587,75;129,59;0,00;140,00;0,00;0;0
Cleber Verde;MA;REPUBLICANOS;41955,60;0,00;88000,00;58000,00;0,00;183,94;142,88;0,00;0,00;0,0;0,00;0,00;0,00;84627,46;0,00;0,00;0,00;0,00;0;0
Dagoberto Nogueira;MS;PSDB;58044,89;40709,28;121000,00;36400,00;0,00;20016,63;788,76;278,28;708,70;0,0;0,00;6088,70;78000,00;25361,35;0,00;0,00;309,00;0,00;0;0
Edio Lopes;RR;PL;0,00;7124,60;0,00;113820,00;0,00;5824,95;3032,77;0,00;0,00;0,0;0,00;58592,56;56880,00;74003,26;0,00;25200,00;0,00;0,00;0;0
Eduardo da Fonte;PE;PP;259,00;34220,82;0,00;79714,96;0,00;3021,39;173,26;0,00;0,00;0,0;0,00;49579,68;123245,00;32478,82;0,00;0,00;0,00;0,00;0;0
Efraim Filho;PB;UNIÃO;0,00;900,00;0,00;136897,00;0,00;66,97;1816,43;0,00;0,00;0,0;0,00;1249,96;52000,00;66696,39;0,00;0,00;0,00;0,00;0;0
Fábio Ramalho;MG;MDB;92107,47;31928,82;0,00;0,00;0,00;8001,74;353,10;0,00;1119,00;0,0;17,40;20416,81;52791,00;77033,56;0,00;0,00;0,00;0,00;0;0
Fernando Coelho Filho;PE;UNIÃO;28944,90;32564,66;0,00;0,00;2343,33;3536,78;3250,07;0,00;8225,58;0,0;0,00;1999,03;71910,60;112985,03;0,00;0,00;0,00;0,00;0;0
